question,answer
Apa alasan di balik saran ketiga professor untuk memasukkan pembahasan Durga di Jawa,Ketiga professor menyarankan agar saya juga membahas Durga di Jawa untuk mendapatkan pemahaman yang lebih kronologis dan komprehensif mengenai hubungan historis dan mitologisnya.
Apa nama upacara yang disebut dalam konteks ini,Upacara Pekeling: Jatra dan Yatra.
Mengapa kakek tidak mengizinkan Anda menyebutkan nama Durga,"Karena kami menganggap Durga begitu angker dan berbahaya, kakek saya bahkan tidak mengizinkan saya untuk menyebutkan nama Durga karena Durga sangat tenget, angker kuat secara spiritual atau magis dan berbahaya."
Apa yang bisa terjadi jika Durga tidak berkenan dengan perilaku manusia,"Durga dapat menyebabkan begitu banyak masalah jika dia tidak berkenan dengan perilaku manusia, tetapi akan sangat bermurah hati apabila dipuja dengan sempurna sepenuh hati."
Mengapa Anda merasa takut melakukan penelitian tentang Durga,"Saya merasa takut untuk melakukan penelitian tentang Durga, karena saya percaya kalau Durga dapat mengutuk saya apabila saya melakukan sesuatu yang salah."
Apa alasan utama Anda melakukan jatra dan yatra,Itulah alasan utama mengapa saya memutuskan untuk melakukan jatra dan yatra sebelum mengadakan penelitian lebih mendalam.
Apa tujuan utama dari jatra dan yatra yang Anda lakukan,"Tujuan utama melakukan jatra dan yatra adalah untuk meminta izin serta anugrah dari Durga supaya penelitian saya berjalan lancar dan sukses, serta terlindungi dari segala mara bahaya."
Apa yang dimaksud dengan upacara/atra,"Upacara/atra, yaitu upacara permohonan doa restu serta anugrah di pura sekitar tempat tinggal kita."
Di mana Anda melakukan upacara jatra,"Untuk upacara jatra, saya melakukan di Pura Dalem di desa kelahiran saya sebagai tempat suci untuk pemujaan Siwa-Durga, saya ditemani oleh nenek dan kakek saya yang Pemangku Dalem."
Apa pesan yang disampaikan kakek kepada Anda,"Kakek berpesan dalam Bahasa Bali, “Yan, sing dadi ngawag nyambatang Ida Bhatari (Durga), ragane nak tenget, aeng, kalo men sembah baktinin ragane, apa tagih sekita arep Yan, kal icenine (teken Ida”."
Apa terjemahan pesan kakek dalam Bahasa Indonesia,"“Yan, jangan sembarangan nyebut-nyebur Ida Bhatari (Durga), Dia angker, menyeramkan, namun kalau dipuja dengan sepenuh hati, akan memberikan anugrah apapun yang Yang inginkan”, begitulah terjemahan bebas dalam Bahasa Indonesia."
Apa itu upacara Yatra,"Upacara Yatra, yaitu upacara yang diadakan di tempat jauh dari tempat tinggal kita, bisa di pegunungan atau di seberang sungai atau lautan."
Kapan Anda melanjutkan perjalanan setelah melakukan jatra,"Dua hari setelah saya melakukan jatra ke Pura Dalem di desa, saya melanjutkan perjalanan suci saya ke Pura Dalem Ped yang terletak di seberang lautan yaitu di Nusa Penida, Bali."
Apa tujuan dari perjalanan ke Pura Dalem Ped,Tujuannya sama dengan upacara jatra yaitu untuk memohon doa restu dan ijin supaya mendapat keselamatan serta perlindungan dari Durga.
Apa yang Anda lakukan untuk mengejar “kehadiran bayangan” Durga,"Untuk mengejar “kehadiran bayangan” Durga, saya harus menyeberangi lautan luas, mendaki bukit terjal, memasuki gua yang gelap dan menakutkan."
Apa yang Anda lakukan setelah mengatasi semua rintangan,"Setelah semua rintangan dapat saya atasi, sampailah saya di Pura Dalem Ped, dimana saya mengadakan pemujaan serta mekemit (bermalam) di Pura Pemujaan Ratu Gede Mecaling, salah satu kompleks di Pura Dalem Ped selain Pura Ulam Agung, Beji Agung, dan Pura Penataran Agung."
Apa peran Pura Dalem Ped dalam tradisi Bali,"Pura Dalem Ped adalah salah satu pura kahyangan desa Nusa Penida, yang berperan sangat penting bagi pemuja orang awam dan dukun tradisional (balian) dari seluruh Bali."
Apa yang dipercayai oleh orang Bali tentang Ratu Gede Mecaling,"Orang Bali percaya bahwa semua penyakit, nasib buruk, roh jahat dan bencana di daratan Bali telah disebabkan dan disebarkan oleh salah satu pemuja setia Durga yaitu Ratu Gede Mecaling, tetapi dalam waktu yang sama semua malapetaka, segala jenis penyakit dapat disembuhkan oleh Ratu Gede Mecaling karena dapat penugrahan panca taksu (lima kesaktian) dari Dewi Durga."
Di mana Anda memilih untuk bermalam saat mekemit di Pura Dalem Ped,"Semalam mekemit di Pura Dalem Ped saya memilih tempat di balai pawedan, sebuah bangunan kecil dari kayu setinggi dua meter persegi, yaitu tempat khusus untuk pendeta Hindu melantunkan mantra-mantra pujian dari kitab suci Weda."
Apa saja sarana ritual yang ada di balai pawedan,"Ada beberapa sarana ritual yang diletakkan di bangunan tersebut, termasuk tempayan dari tanah liat untuk air suci (tirta) dan beberapa dupa."
Apa yang Anda lakukan untuk membuat diri Anda nyaman,"Saya mencoba membuat diri saya senyaman mungkin, sehingga saya cepat tertidur, tetapi lolongan anjing di sekitar pura dan di kejauhan membangunkan saya dari tidur dan mendapatkan diri saya sedang sendirian di pura dalam keadaan gelap gulita karena listriknya padam."
Siapa yang mendatangi Anda dalam mimpi saat tertidur,"Di dalam tertidur sesaat itu, Sang Dewi Agung (the Great Goddess) mendatangi saya dalam mimpi."
Bagaimana wujud Sang Dewi yang Anda lihat dalam mimpi,"Sang Dewi datang dalam wujud yang aeng, berbadan ramping, berambut panjang berwarna merah, putih, dan hitam dengan mahkota menyala seperti api, kuku-kukunya panjang dan runcing, taring-taringnya runcing, matanya tajam menatap saya dengan pandangan yang sangat lembut."
Apa yang dilakukan Sang Dewi kepada Anda dalam mimpi,Sang Dewi bahkan menyentuh dada saya dan saya dianugrahi busana yang masih terlipat rapi.
Apa yang Anda tafsirkan dari mimpi Anda,"Dari mimpi tersebut saya lalu menafsirkan bahwa saya telah mendapat ijin, doa, restu, serta anugrah dari Sang Dewi Agung untuk melakukan penelitian tentang Durga."
Apa yang Anda putuskan setelah mimpi tersebut,"Jadi, saya memutuskan untuk kembali ke India (2002-2004) dengan penuh percaya diri untuk riset di sana."
Apa saja metode yang digunakan untuk mendapatkan data primer,"Untuk mendapatkan data primer, saya mengadakan: survey, wawancara, dan observasi partisipasi."
Bagaimana Anda mendapatkan data sekunder untuk penelitian ini,"Sedangkan untuk data sekunder saya banyak membaca pustaka yang berkaitan dengan Durga baik dalam Bahasa Indonesia, Bahasa Bali, maupun Bahasa Inggris."
Di mana saja penelitian ini dilakukan,"Penelitian tersebut dilakukan baik di India, Jawa, dan Bali."
Apa yang Anda lakukan selama berada di India untuk penelitian ini,"Selama di India, saya survei dengan mengunjungi museum-museum, kuil-kuil (mandir) yang diperuntukan sebagai pemujaan kepada Durga, serta mengunjungi para Sadu di goa-goa yang merupakan pemuja Siwa-Durga yang fanatic."
Upacara apa yang Anda ikuti di India,Saya mengikuti upacara Durga Puja di Calcutta dan Varanasi.
Siapa saja yang Anda wawancarai dalam penelitian ini,"Saya juga melakukan wawancara dengan pemuja Durga dari semua lapisan masyarakat termasuk “Tantrik”, sebutan bagi penganut aliran tantra yang ekstrem."
Di mana Anda memfokuskan penelitian di Indonesia,"Sedangkan, penelitian di Indonesia saya berfokus untuk survey di Jawa terlebih dahulu sesuai kronologi perjalanan sejarah pemujaan Durga."
Apa yang Anda lakukan di Jawa dalam rangka penelitian ini,"Di Jawa, saya mengunjungi museum, candi-candi peninggalan sejarah dinasti Hindu, wawancara dengan semua lapisan masyarakat."
Apa yang Anda lakukan selama penelitian di Bali,"Di Bali, saya banyak habiskan waktu membaca saduran lontar bertuliskan huruf Latin."
Mengapa Anda melakukan survei ke desa Adiwasi Gathiyali di Jaipur,"Saya survei ke desa Adiwasi Gathiyali di Jaipur karena di daerah tersebut penduduk setempat memuja kekuatan Dewi (goddess) berupa arca dari tanah liat yang menyerupai arca Durga Mahisasuramardini, tetapi penduduk setempat tidak menyebutnya Durga."
Apa tujuan utama pemujaan terhadap arca Dewi di desa Adiwasi Gathiyali,Tujuan pemujaan terhadap arca Dewi tersebut adalah sama dengan tujuan dari pemujaan terhadap Durga yaitu untuk mendapat perlindungan dari segala marabahaya.
Apa yang Anda lakukan setelah survei di desa Adiwasi Gathiyali,"Lalu, saya mengunjungi beberapa kuil (Bahasa Hindi: mandir) di Jaipur, New Delhi, Kalkuta, Rishi Kesh, dan Varanasi yang dibangun khusus untuk memuja Durga dalam wujud yang berbeda-beda."
Kuil Durga di Rishi Kesh India Utara menggambarkan Durga dalam wujud siapa,"Seperti misalnya di Rishi Kesh India Utara, saya ke kuil Durga yang berwujud Dewi Parwati."
Bagaimana wujud Durga yang digambarkan di kuil Kalkuta,Kuil di Kalkuta yang banyak dikunjungi oleh pemujanya dimana Durga digambarkan berwujud Dewi Kali yang hitam legam dengan lidah terjulur seperti haus darah.
Di mana kuil kecil yang Anda kunjungi berada,"Adapun sebuah kuil kecil di tengah hutan di Taman Sariska, Delhi, arca Durga dari tanah liat digambarkan sebagai penjaga hutan, dimana pemujanya mengorbankan kambing di altar kuil di bawah pohon beringin tersebut."
Apa yang Anda lakukan setelah mengunjungi kuil-kuil,"Survei selanjutnya, saya mengunjungi museum di New Delhi untuk mempelajari patung-patung Durga Mahisasuramardini, jenis-jenisnya dan karakter dari masing-masing patung tersebut."
Ke mana Anda pergi setelah mengunjungi museum di New Delhi,Lalu saya pergi ke Mathura untuk menelusuri keberadaan peninggalan jaman Paleolitikum untuk menemukan patung atau arca Dewi Bumi sebagai awal dari pemujaan kekuatan energi feminin.
Apa yang Anda temukan di museum Mathura,"Di museum Mathura, saya juga menemukan Yupa Post, tiang batu setinggi 8-11 meter yang sangat penting untuk dikaji untuk menelusuri perkembangan ajaran Hindu di Nusantara."
Di mana ditemukan peninggalan sejarah berupa Yupa Post,"Di Kutai, Kalimantan Timur sebagai kerajaan Hindu tertua di Nusantara ditemukan peninggalan sejarah berupa Yupa Post."
Bagaimana cara Anda mendapatkan data primer,"Untuk mendapatkan data primer, saya mewawancarai segala lapisan masyarakat di India dan di Indonesia."
Apa yang Anda lakukan saat wawancara di India,"Saat wawancara di India, saya bertemu dengan beberapa pemuja Durga yang sangat taat."
Apa yang dikatakan oleh seorang pemuja Durga di Culcatra kepada Anda,"Salah seorang pemuja Durga di Culcatra berkata kepada saya, ""Dewi Durga adalah Dewi yang paling pemurah karena apapun yang kita inginkan akan segera dikabulkan, sedangkan Dewi Saraswati sangat pelit kita harus lama sekali belajar untuk menjadi pintar. Dewi Laksmi juga begitu pelit, kita sulit untuk menjadi kaya walau bagaimanapun kerasnya usaha kita."""
Siapa yang Anda temui dan wawancarai dalam kesempatan yang sama,"Dalam kesempatan yang sama, saya juga bertemu dan wawancara dengan ""tantric"", istilah ini mengacu pada penganut ajaran tantra yang ahli dalam ilmu black-magic karena para tantric punya ""magic-eyes"" dimana mereka bisa mencelakai musuh-musuhnya dengan hanya memandang dengan ""magic-eyes""nya."
"Mengapa anak-anak kecil di India memakai ""cilak"" hitam di mata","Maka dari itu, anak-anak kecil di India memakai ""cilak"" hitam di mata dan mobil-mobil berisi sesajen berupa cabai, jeruk lemon dan bawang merah yang katanya bisa menolak kesaktian dari ""magic-eyes."""
Bagaimana sifat seorang tantric yang Anda wawancarai,"Seorang tantric yang saya wawancarai bersifat sangat rahasia, dia hanya bicara dengan orang yang dipercaya."
Apa yang dikatakan oleh tantric tersebut dalam wawancara mengenai tindakannya,"Dalam wawancara tersebut, tantric tersebut berkata bahwa dia tidak pernah menyakiti orang secara langsung, tetapi kekuatan yang dianugrahi oleh ""Gorakh Nath"" (Siwa dalam bentuk menyeramkan) bisa mencelakai orang yang bermaksud jahat padanya."
Dengan siapa Anda bertemu selain para tantric di India,Saya juga bertemu dengan seorang perempuan yang namanya Durga.
Apa yang dikatakan ibu itu tentang nama Durga,"Dia bilang, ""Dewi Durga sangat cantik dan maha pengasih, jadi nama itu bagus untuk perempuan."""
Apa yang Anda katakan kepada ibu tersebut mengenai penyebutan nama Durga di Bali,"Lalu saya katakan padanya, ""Di Bali, kami tidak berani menyebut nama Durga blak-blakan, biasanya kita membuat nama yang menyamarkan nama Durga, seperti Ratu Ayu, Ida Bhatari Dalem, atau Ratu Mas."""
Bagaimana reaksi ibu Durga setelah mendengar penjelasan Anda tentang Durga di Bali,Ibu Durga itu semakin penasaran dengan perkembangan Dewi Durga di Bali.
Apa yang terjadi setelah Anda menjelaskan tentang Durga di Bali kepada ibu Durga,"Akhirnya saya diundang untuk memberikan presentasi tentang Bhatari Durga di New Delhi India pada tahun 2008 sebelum melanjutkan presentasi di Berlin, Jerman dalam tahun yang sama."
Apa yang Anda amati selama Durga Puja di Kalkuta dan Varanasi,"Durga Puja di Kalkuta dan Varanasi Durga dengan banyak julukan serta wujudnya seperti Dewi Sitala, Ambika, Badrakali, Kali, Parwati, dipuja sesuai dengan tujuan pemujanya."
Apa yang Anda lakukan terkait dengan pemujaan Durga sebagai Dewi Sitala di Jaipur,Saya sempat mengadakan observasi dan berpartisipasi dalam pemujaan Durga sebagai Dewi Sitala di Jaipur.
Apa tujuan pemujaan Dewi Sitala menurut narasumber Anda,"Menurut narasumber saya, Dewi Sitala dipuja oleh penduduk untuk mendapatkan kesembuhan dari penyakit cacar (chickenpox)."
Apa tradisi yang dilakukan pada hari pemujaan Dewi Sitala,"Di hari pemujaan Dewi Sitala, semua makanan tidak boleh dipanaskan."
Apa yang Anda lakukan selain mengikuti puja untuk Dewi Sitala,"Selain mengikuti puja untuk Dewi Sitala, saya juga punya kesempatan untuk mengikuti Durga Puja di Kalkuta yang dirayakan setiap tahun di bulan Oktober."
Bagaimana Durga Puja dirayakan,"Pada saat Durga Puja, biasanya perayaannya dilakukan dengan membuat pandal yang berisi arca Tri Sakti yaitu: Maha Saraswati, Maha Durga, Maha Laksmi."
Siapa yang termasuk dalam Tri Sakti di India,"Di antara Tri Sakti Dewi Saraswati, Dewi Laksmi, dan Dewi Durga, maka Dewi Durga lah yang paling banyak dipuja di India."
Bagaimana Dewi Durga digambarkan di dalam pandal selama Durga Puja,"Biasanya di dalam pandal ini, Dewi Durga digambarkan sebagai Dewi Durga Mahisasuramardani dimana arcanya memperlihatkan kekalahan raksasa Mahisasura."
Apa yang Anda saksikan terkait dengan perayaan Durga Puja,Saya sendiri sempat menyaksikan bagaimana perayaan Durga Puja dilaksanakan di Culcatta dan Varanasi.
Apa saja lokasi yang Anda survei dalam penelitian Anda di Indonesia,"Sama halnya dengan riset di India, saya juga mengadakan survei ke museum-museum, candi-candi di Jawa Tengah, Jawa Timur, serta Pura-Pura di Bali yang memiliki peninggalan sejarah tentang Durga baik berupa arca, patung, maupun bas-reliefs yang terpahat di dinding-dinding candi."
Siapa saja yang Anda wawancarai dalam penelitian Anda di Bali dan Jawa,Saya juga wawancara dengan semua lapisan masyarakat secara formal dan non-formal baik di Bali maupun di Jawa.
Apa yang menjadi awal mula dari pemujaan terhadap energi feminin,Pemujaan terhadap energi feminin berawal mula dari pemujaan terhadap Ibu Dewi di zaman peradaban Lembah Indus (c.3000-1500 SM).
Bagaimana pemujaan Ibu Dewi berkembang pada zaman Weda,"Pemujaan Ibu Dewi tersebut berkembang pada zaman Weda (c.1500-800 SM) setelah dewa-dewa Tri Murti Hindu (Brahma, Wisnu, Siwa) mulai digambarkan mempunyai shakti-shakti (energi spiritual feminin), maka terciptalah Dewi Saraswati-Brahma, Dewi Laksmi-Wisnu, dan Dewi Durga-Siwa (Zimmer 1955)."
Pada periode apa pemujaan terhadap Dewi mulai dikenal lebih luas,"Pada periode Epik, Ramayana dan Mahabharata berikutnya (c.200 SM- 200 M) dan periode Puranik (c.200-800 M), pemujaan terhadap Dewi pada awalnya menjadi terkenal pada periode Puranik sehubungan dengan sekte Siwa."
Sekte apa yang memuja Wisnu sebagai dewa tertinggi,"Di India kita mengenal adanya sekte Waisnawaisme, sekte Siwaisme, dan sekte Shaktisme, sekte Waisnaisme memuja Wisnu sebagai dewa tertinggi, Sekte Siwaisme memuja Siwa sebagai dewa tertinggi, Sekte Shaktisme memuja Durga sebagai dewi tertinggi di sini terjadilah penggabungan kekuatan dewa dan dewi tertinggi dalam masa Puranik."
Apa yang menjadi alasan adanya mandir khusus untuk memuja Durga di India,"Karena Durga sebagai dewi tertinggi dari sekte Shaktisme, maka di India kita temui mandir (kuil) khusus untuk memuja Durga, hari raya suci untuk memuja Durga, serta literatur yang berisi syair-syair tentang pujian-pujian kepada Durga."
"Apa literatur yang memuat penciptaan dan keagungan Durga
",Salah satu literatur khusus memuat penciptaan serta keagungan Durga adalah Dewi Mahatmya yang berupa sisipan dalam kitab Markandeya Purana (digubah sekitar abad ke-6 M).
"Menurut Mookerjee dan Agravala, apa yang dipaparkan dalam sloka suci Devi Mahatmya","Menurut (Mookerjee, 1988:8, dan Agravala, 1963), sesuai dengan apa yang dipaparkan dalam sloka suci Devi Mahatmya, sebuah sisipan penting dari Markandeya Purana (digubah pada abad ke-6 Masehi), diceritakanlah lahirnya Durga sebagai berikut:"
Siapa yang menyerang sorga loka pada zaman dulu,"Pada zaman dulu, sorga loka diserang oleh raksasa bersama pasukannya yang dipimpin oleh Mahisasura, yaitu raksasa berkepala kerbau."
Apa sifat utama dari raksasa yang diserang di sorga loka,Raksasa tersebut sangat sakti dan tak terkalahkan oleh pasukan para dewa di sorga.
Di mana Dewa Siwa sedang bertapa pada saat penyerangan tersebut,"Pada saat penyerangan tersebut, Dewa Siwa sedang bertapa di Gunung Kailasa, puncak tertinggi dari pegunungan Himalaya."
Apa yang dilakukan Raksasa Mahisasura terhadap sorga loka,Raksasa Mahisasura menduduki sorga loka sehingga para dewa morat-marit berlarian ke mana-mana untuk menyelamatkan diri.
Apa keputusan yang diambil oleh para dewa terkait dengan keadaan di sorga loka,Akhirnya para dewa memutuskan untuk pergi ke puncak Kailasa untuk memberitahukan Dewa Siwa tentang keadaan di sorga loka.
Apa reaksi Dewa Siwa setelah mendengar kabar tentang serangan pasukan raksasa,Dewa Siwa yang sedang meditasi menjadi sangat murka mendengar kabar bahwa sorga telah diobrak-abrik oleh pasukan raksasa raja Mahisasura dan tahta sorga telah diduduki oleh raja Mahisasura.
Apa yang terjadi pada Dewa Siwa akibat kemarahannya,"Saking murkanya, dari kedua belah kening Dewa Siwa muncullah pancaran cahaya yang luar biasa dahsyatnya."
Apa yang terjadi pada kedua belah kening para dewa lainnya,Demikian juga dari kedua belah kening para dewa lainnya muncul cahaya yang menyatu dengan cahaya Dewa Siwa.
Apa yang muncul dari kumpulan cahaya para dewa,"Dari kumpulan cahaya para dewa tersebut muncullah sesosok Dewi yang luar biasa cantiknya, bertangan delapan, yang membuat para dewa sangat senang melihat terciptanya dewi tersebut."
Apa keyakinan para dewa tentang kemampuan sosok Dewi terhadap Mahisasura,"Karena para dewa tahu bahwa musuh mereka tidak dapat dikalahkan oleh para dewa, maka para dewa yakin bahwa Mahisasura akan tunduk dan terkalahkan oleh sosok Dewi yang cantik."
Apa keputusan yang diambil para dewa terkait dengan sosok Dewi yang cantik,Maka sepakatlah para dewa untuk mengirimkan Dewi yang cantik ke medan laga.
Mengapa para dewa perlu menganugerahi Sang Dewi senjata-senjata sakti,"Karena Sang Dewi akan dikirim ke medan perang, para dewa perlu menganugerahi Dewi itu senjata-senjata sakti supaya bisa mengalahkan Mahisasura."
Senjata apa yang diberikan oleh Dewa Siwa kepada Dewi,"Lalu, Dewa Siwa menganugerahkan Tri Sula, Wisnu menganugerahkan Cakra, Brahma menganugerahkan Gada, Indra menganugerahkan Bajra, dan juga dewa-dewa lainnya."
Apa yang dimiliki oleh kedelapan tangan Dewi setelah menerima senjata-senjata mahasakti,Sehingga kedelapan tangan Dewi tersebut berisi senjata mahasakti.
Apa nama yang diberikan kepada Dewi yang baru tercipta dari cahaya para dewa,"Dewi yang baru tercipta dari cahaya para dewa akhirnya diberi nama Dewi Durga yang berarti ""Seorang Dewi yang Sulit Dikalahkan""."
Apa yang dianugerahkan oleh Dewa Siwa kepada Dewi Durga untuk melengkapi sarana perang,"Untuk melengkapi sarana perang, Dewi Durga dianugerahi Singa oleh Dewa Siwa sebagai wahananya ke medan perang untuk melawan pasukan raksasa Mahisasura."
Apa yang diterima Dewi Durga dari para dewa sebelum pergi ke medan perang,"Setelah Dewi Durga dibekali mantra-mantra kesaktian dari para dewa dan siap dengan peralatan perangnya, maka pergilah Dewi Durga dengan wahana Singanya ke medan laga sendirian menantang Mahisasura untuk berperang."
Apa yang dilakukan Dewi Durga untuk memulai tantangan terhadap Mahisasura,"Dengan suara nyaring, Dewi Durga memanggil Mahisasura dan menantangnya untuk berperang, ""Wahai Raja Mahisasura, keluarlah ke medan laga, lawanlah aku bertempur!""."
Apa reaksi awal Mahisasura terhadap tantangan dari Dewi Durga,"Mendengar tantangan seorang perempuan dan melihat betapa cantik perempuan yang menantangnya, Mahisasura awalnya tidak mau melawan."
Apa yang dikatakan Mahisasura kepada Dewi Durga tentang cara bertempur,"Ia pun berkata kepada Dewi Durga, ""O Sang Dewi yang maha cantik, kenapa harus berperang melawanku, apakah tidak lebih baik kalau kita bertempur di tempat tidur (bed-chamber) saja""."
Apa yang dilakukan Dewi Durga setelah mendengar tawaran Mahisasura,"Tertawalah Dewi Durga mendengar tawaran raja raksasa sambil menjawab, ""Hahaha… hanya lelaki yang bisa mengalahkan aku di medan perang berhak bertempur denganku di tempat tidur (bed chamber)""."
Apa reaksi Mahisasura terhadap jawaban Dewi Durga,"Mendengar jawaban Dewi Durga, murkalah Mahisasura atas jawaban Dewi Durga yang merendahkan kesaktiannya."
Apa yang memicu rasa kejantanannya Mahisasura setelah mendengar jawaban Dewi Durga,Rasa kejantanannya sangat tertantang untuk segera menundukkan dan mengalahkan Dewi Durga supaya bisa mengajaknya ke tempat tidur.
Apa yang dilakukan Mahisasura dalam adu kesaktian dengan Dewi Durga,"Dalam adu kesaktian, Mahisasura mengubah wujudnya beberapa kali tetapi tetap dia selalu bisa dikenali dan dilumpuhkan oleh Dewi Durga."
Apa wujud terakhir yang diambil oleh Mahisasura dalam pertarungan,"Terakhir kali, Mahisasura berubah wujud menjadi kerbau yang ganas."
Bagaimana Dewi Durga mengalahkan Mahisasura dalam bentuk kerbau,"Singkat cerita, Dewi Durga dapat mengalahkan Mahisasura dengan memenggal kepala Mahisasura yang berupa kerbau tersebut."
Apa yang dilakukan para dewa setelah Mahisasura dikalahkan oleh Dewi Durga,"Dengan kalahnya Mahisasura, para dewa memuji-muji kesaktian Dewi Durga dengan mantra-mantra pujian."
Apa julukan yang diberikan kepada Dewi Durga setelah mengalahkan Mahisasura,"Sejak saat itu, Dewi Durga diberi julukan Durga Mahisasuramardini, yang berarti ""Dewi Durga yang telah mengalahkan raksasa Mahisasura""."
Apa yang digambarkan tentang Dewi Durga Mahisasuramardini dalam cerita singkat tersebut,"Begitulah cerita singkat tentang terciptanya Durga Mahisasuramardini di India, yang selalu digambarkan sebagai Dewi Durga Mahisasuramardini yang cantik dan selalu dipuja oleh semua lapisan masyarakat sebagai Dewi Pelindung dan Dewi Perang demi kemenangan."
"Mengapa mandir-mandir (candi, kuil, pura) didirikan khusus untuk Dewi Durga Mahisasuramardini","Saking pentingnya peranan Durga Mahisasuramardini, maka dari itu didirikanlah mandir-mandir (candi, kuil, pura) khusus dipakai tempat memuja Durga dengan berbagai julukan tergantung dari perannya dalam memberi penugrahan."
Apa nama hari suci yang khusus untuk memuja Dewi Durga,"Ada hari suci yang khusus untuk memuja Dewi Durga yang disebut Durga Puja, yang biasanya jatuh pada bulan Oktober."
Apa yang biasanya dibuat selama perayaan Durga Puja,"Pada saat Durga Puja, biasanya perayaannya dilakukan dengan membuat pandal yang berisi arca Tri Sakti: Maha Saraswati, Maha Durga, Maha Laksmi."
"Dari Tri Sakti (Dewi Saraswati, Dewi Laksmi, dan Dewi Durga), siapa yang paling banyak dipuja di India","Di antara Tri Sakti: Dewi Saraswati, Dewi Laksmi, dan Dewi Durga, maka Dewi Durgalah yang paling banyak dipuja di India."
Bagaimana Dewi Durga biasanya digambarkan dalam pandal selama perayaan Durga Puja,"Biasanya di dalam pandal ini, Dewi Durga digambarkan sebagai Dewi Durga Mahisasuramardini, di mana arcanya memperlihatkan kekalahan raksasa Mahisasura."
Di mana beberapa arca atau patung Durga Mahisasuramardini ditemukan di Nusantara,"Di Nusantara, beberapa arca atau patung Durga dalam bentuk Durga Mahisasuramardini telah ditemukan di beberapa candi di Jawa Barat pada abad ke-6 Masehi (Hariani Santiko, 1987)."
